chromosome	start	end	copy_number	minor_cn	major_cn	cellular_prevalence
1	63093	46727100	6	2	4	0.337817135
1	46727300	148904205	1	0	1	0.276071589
1	149301707	226259950	5	2	3	0.253204069
1	226260274	248867702	0	0	0	0.117785407
2	27400	113191231	2	0	2	0.192073279
2	114034185	243176250	1	0	1	0.36304
3	182750	197354781	3	1	2	0.385288767
4	15705	75705378	4	2	2	0.392136561
4	75705618	144707138	2	0	2	0.62705833
4	144818165	190435750	5	2	3	0.483086658
5	33650	180890250	4	2	2	0.205391662
6	188969	32729300	4	2	2	0.286547576
6	32729470	89787483	4	2	2	0.677533379
6	89787821	171045800	3	1	2	0.178148163
7	81050	77423550	1	0	1	0.276071589
7	77423900	158827750	1	0	1	0.677533379
8	21100	145813850	5	2	3	0.253204069
9	211100	87338794	3	1	2	0.178148163
9	87338999	87458700	4	2	2	0.525464988
9	87459100	87496200	6	3	3	0.421719579
9	87499890	110259772	5	2	3	0.253204069
9	114694214	139440200	6	3	3	0.524899728
10	253000	135289200	3	1	2	0.677533379
11	192764	63886550	4	2	2	0.205391662
11	64002418	75911520	9	2	7	0.677533379
11	75911770	93171150	2	0	2	0.192073279
11	93171450	134672600	1	0	1	0.677533379
12	191792	133336458	5	2	3	0.253204069
13	20138645	115097450	2	0	2	0.285507972
14	19050467	106924950	5	2	3	0.483086658
15	20215850	102467700	2	0	2	0.180794419
16	130853	58552395	5	2	3	0.43737163
16	58552700	89984000	1	0	1	0.650873718
17	700687	18575950	3	0	3	0.471838182
17	18576100	37360477	4	2	2	0.133778495
17	37360700	52773225	5	2	3	0.677533379
17	53363443	81177150	5	2	3	0.253204069
18	193180	77213350	3	1	2	0.524976492
19	104800	59068050	4	2	2	0.677533379
20	351535	62176400	4	2	2	0.392136561
21	9656310	48099450	2	1	1	1.0
22	16345614	23220150	2	0	2	0.285507972
22	23220467	23613011	5	2	3	0.677533379
22	23613404	50710857	3	1	2	0.615839792
23	284450	155012350	3	1	2	0.385288767
